No;Link Matkul;Name;Kode Matkul;Kategori Matkul
959;https://sikola.unhas.ac.id/courses/103C1315/index.php;PRINSIP SAINS DAN BIOMEDIK DASAR DALAM FISIOTERAPI/FISIOLOGI;103C1315;11202
962;https://sikola.unhas.ac.id/courses/103D2122/index.php;GAMBAR MESIN (BERBASIS KOMPUTER) + PRAKTIKUM;103D2122;21201
966;https://sikola.unhas.ac.id/courses/103D3323/index.php;MEKANIKA TEKNIK I;103D3323;36202
973;https://sikola.unhas.ac.id/courses/103E1203/index.php;ORGANISASI DAN MANAJEMEN PEMERINTAHAN;103E1203;65201
978;https://sikola.unhas.ac.id/courses/103F3102/index.php;TATA BAHASA PRANCIS 1;103F3102;79205
980;https://sikola.unhas.ac.id/courses/103F6102/index.php;PENGANTAR ARKEOLOGI;103F6102;81201
983;https://sikola.unhas.ac.id/courses/103F9114/index.php;BAHASA JEPANG TERPADU DASAR I;103F9114;79204
985;https://sikola.unhas.ac.id/courses/103G3203/index.php;PENGANTAR ILMU PERTANIAN;103G3203;54201
986;https://sikola.unhas.ac.id/courses/103I1103/index.php;STATISTIKA PETERNAKAN;103I1103;54231
987;https://sikola.unhas.ac.id/courses/103K1112/index.php;DASAR-DASAR AKK;103K1112;13201
988;https://sikola.unhas.ac.id/courses/103K2012/index.php;PSIKOLOGI PERKEMBANGAN;103K2012;13211
998;https://sikola.unhas.ac.id/courses/104D2124/index.php;TEKNIK MANUFAKTUR + PRAKTIKUM;104D2124;21201
1002;https://sikola.unhas.ac.id/courses/104D3323/index.php;TERMODINAMIKA;104D3323;36202
1010;https://sikola.unhas.ac.id/courses/104E1203/index.php;PENGANTAR ILMU PEMERINTAHAN;104E1203;65201
1016;https://sikola.unhas.ac.id/courses/104F3102/index.php;KOSA KATA PRANCIS I;104F3102;79205
1018;https://sikola.unhas.ac.id/courses/104F5102/index.php;PENGANTAR FILOLOGI;104F5102;79211
1024;https://sikola.unhas.ac.id/courses/104I1103/index.php;BIOKIMIA PETERNAKAN;104I1103;54231
1025;https://sikola.unhas.ac.id/courses/104K1112/index.php;ETIKA DAN HUKUM KESEHATAN;104K1112;13201
1026;https://sikola.unhas.ac.id/courses/104K2012/index.php;ANTROPOLOGI GIZI;104K2012;13211
1029;https://sikola.unhas.ac.id/courses/104O1122/index.php;HISTOLOGI VETERINER I;104O1122;54261
1042;https://sikola.unhas.ac.id/courses/105D4223/index.php;SISTEM DIGITAL;105D4223;55201
