No;Link Matkul;Name;Kode Matkul;Kategori Matkul
74;https://sikola.unhas.ac.id/courses/0107C20502/index.php;EPIDEMIOLOGI KLINIK DAN KEDOKTERAN BERBASIS BUKTI ( EVIDENCE BASED MEDICINE);0107C20502;11711
75;https://sikola.unhas.ac.id/courses/0107C20602/index.php;BIOLOGI MOLEKULER;0107C20602;11705
76;https://sikola.unhas.ac.id/courses/0107C21002/index.php;RADIOLOGI SISTEM UROGENITAL (1) ;0107C21002;11723
77;https://sikola.unhas.ac.id/courses/0107C21201/index.php;KESEIMBANGAN ASAM BASA, CAIRAN DAN ELEKTROLIT;0107C21201;11703
78;https://sikola.unhas.ac.id/courses/0107C21402/index.php;EPIDEMOLOGI KLINIK DAN KEDOKTERAN BERBASIS BUKTI;0107C21402;11706
79;https://sikola.unhas.ac.id/courses/0107C21502/index.php;EPIDEMIOLOGI KLINIK DAN KEDOKTERAN BERBASIS BUKTI;0107C21502;11712
80;https://sikola.unhas.ac.id/courses/0107C21701/index.php;FARMAKOLOGI KLINIK;0107C21701;13701
81;https://sikola.unhas.ac.id/courses/0108C11802/index.php;BIOLOGI MOLEKULER;0108C11802;11709
82;https://sikola.unhas.ac.id/courses/0108C20201/index.php;GLAUKOMA;0108C20201;11701
83;https://sikola.unhas.ac.id/courses/0108C20502/index.php;IMUNOLOGI;0108C20502;11711
84;https://sikola.unhas.ac.id/courses/0108C20601/index.php;FARMAKOLOGI KLINIK;0108C20601;11705
85;https://sikola.unhas.ac.id/courses/0108C21001/index.php;ETIKA PROFESI;0108C21001;11723
86;https://sikola.unhas.ac.id/courses/0108C21201/index.php;GANGGUAN KESADARAN DAN NEUROEMERGENSI;0108C21201;11703
87;https://sikola.unhas.ac.id/courses/0108C21402/index.php;IMMUNOLOGI;0108C21402;11706
88;https://sikola.unhas.ac.id/courses/0108C21502/index.php;IMUNOLOGI;0108C21502;11712
89;https://sikola.unhas.ac.id/courses/0108C21702/index.php;IMMUNOLOGI;0108C21702;13701
90;https://sikola.unhas.ac.id/courses/0109C11801/index.php;ADMINISTRASI KESEHATAN;0109C11801;11709
91;https://sikola.unhas.ac.id/courses/0109C20201/index.php;VITREO RETINA;0109C20201;11701
92;https://sikola.unhas.ac.id/courses/0109C20501/index.php;ADMINISTRASI KESEHATAN DAN REKAM MEDIK;0109C20501;11711
93;https://sikola.unhas.ac.id/courses/0109C20602/index.php;EPIDEMOLOGI KLINIK DAN KEDOKTERAN BERBASIS BUKTI;0109C20602;11705
94;https://sikola.unhas.ac.id/courses/0109C21002/index.php;BIOLOGI MOLEKULER;0109C21002;11723
95;https://sikola.unhas.ac.id/courses/0109C21201/index.php;STROKE DAN GANGGUAN NEUROVASKULAR LAIN;0109C21201;11703
96;https://sikola.unhas.ac.id/courses/0109C21401/index.php;ADMINISTRASI KESEHATAN;0109C21401;11706
97;https://sikola.unhas.ac.id/courses/0109C21501/index.php;ADMINISTRASI KESEHATAN REKAM MEDIK;0109C21501;11712
98;https://sikola.unhas.ac.id/courses/0109C21701/index.php;ADMINISTRASI KESEHATAN;0109C21701;13701
99;https://sikola.unhas.ac.id/courses/010U0032/index.php;BAHASA INGGRIS;010U0032;55201
100;https://sikola.unhas.ac.id/courses/0110C20201/index.php;LENSA KATARAK;0110C20201;11701
101;https://sikola.unhas.ac.id/courses/0110C20602/index.php;IMUNOLOGI;0110C20602;11705
102;https://sikola.unhas.ac.id/courses/0110C21201/index.php;NYERI KEPALA;0110C21201;11703
103;https://sikola.unhas.ac.id/courses/0110C21702/index.php;PENGETAHUAN ILMU GIZI UMUM;0110C21702;13701
104;https://sikola.unhas.ac.id/courses/0111C20201/index.php;TUMOR DAN REKONSTRUKSI;0111C20201;11701
105;https://sikola.unhas.ac.id/courses/0111C20601/index.php;ADMINISTRASI KESEHATAN DAN REKAM MEDIK;0111C20601;11705
106;https://sikola.unhas.ac.id/courses/0111C21201/index.php;NYERI;0111C21201;11703
107;https://sikola.unhas.ac.id/courses/0112C20201/index.php;NEURO OFTALMOLOGI;0112C20201;11701
108;https://sikola.unhas.ac.id/courses/0112C20601/index.php;PENGETAHUAN KLINIK FISIK DIAGNOSTIK;0112C20601;11705
