No;Link Matkul;Name;Kode Matkul;Kategori Matkul;Is Found
7078;https://sikola.unhas.ac.id/courses/215D3222/index.php;ALAT ANGKAT;215D3222;38201;Not Found
7079;https://sikola.unhas.ac.id/courses/215D3323/index.php;SISTEM INSTALASI PERPIPAAN;215D3323;36202;Not Found
7080;https://sikola.unhas.ac.id/courses/215D4122/index.php;"SISTEM MIKROPROSESOR &amp;amp;amp;amp;amp; ANTARMUKA KELAS B";215D4122;20201;Not Found
7081;https://sikola.unhas.ac.id/courses/215D5113/index.php;PEMETAAN DAN ANALISIS TAPAK;215D5113;D511;Found
7082;https://sikola.unhas.ac.id/courses/215D5215/index.php;STUDIO PERENCANAAN TAPAK;215D5215;35201;Not Found
7083;https://sikola.unhas.ac.id/courses/215D6122/index.php;KIMIA ANALITIK;215D6122;34201;Not Found
7084;https://sikola.unhas.ac.id/courses/215D6223/index.php;KARAKTERISASI BAHAN TAMBANG;215D6223;31201;Not Found
7085;https://sikola.unhas.ac.id/courses/215E1303/index.php;GLOBALISASI;215E1303;64201;Not Found
7086;https://sikola.unhas.ac.id/courses/215E2103/index.php;TEHNIK KUANTITATIF ADMINISTRASI;215E2103;63201;Not Found
7087;https://sikola.unhas.ac.id/courses/215E3103/index.php;DASAR-DASAR PUBLIC RELATIONS;215E3103;70201;Not Found
7088;https://sikola.unhas.ac.id/courses/215E4103/index.php;TEORI PERUBAHAN SOSIAL;215E4103;69201;Found
7089;https://sikola.unhas.ac.id/courses/215E5103/index.php;ANTROPOLOGI EKOLOGI;215E5103;82201;Not Found
7090;https://sikola.unhas.ac.id/courses/215F3112/index.php;COMPREHENSION ORALE ET ECRITE 3;215F3112;79205;Found
7091;https://sikola.unhas.ac.id/courses/215F5112/index.php;KAJIAN PROSA BUGIS - MAKASSAR;215F5112;79211;Not Found
7092;https://sikola.unhas.ac.id/courses/215F6103/index.php;KERAMOLOGI;215F6103;81201;Not Found
7093;https://sikola.unhas.ac.id/courses/215I1102/index.php;ILMU LINGKUNGAN TERNAK;215I1102;54231;Not Found
7094;https://sikola.unhas.ac.id/courses/215K2022/index.php;HERBAL MEDICINE;215K2022;13211;Not Found
7095;https://sikola.unhas.ac.id/courses/215K2023/index.php;MIKROBIOLOGI PANGAN;215K2023;13211;Found
7096;https://sikola.unhas.ac.id/courses/215M1123/index.php;PERTUMBUHAN POHON DAN KUALITAS KAYU;215M1123;54251;Not Found
7097;https://sikola.unhas.ac.id/courses/215O1122/index.php;MIKROBIOLOGI MEDIS II (VIROLOGI);215O1122;54261;Found
7098;https://sikola.unhas.ac.id/courses/215Q1123/index.php;PSIKOLOGI SOSIAL II;215Q1123;73201;Not Found
7099;https://sikola.unhas.ac.id/courses/216A2223/index.php;RISET OPERASI;216A2223;61201;Not Found
7100;https://sikola.unhas.ac.id/courses/216B2123/index.php;PERBANDINGAN HUKUM ADMINISTRASI NEGARA;216B2123;74235;Not Found
7101;https://sikola.unhas.ac.id/courses/216C1105/index.php;S1 SISTEM UROGENITALIA;216C1105;11201;Not Found
7102;https://sikola.unhas.ac.id/courses/216C1312/index.php;DASAR PEMERIKSAAN RADIOLOGI;216C1312;11202;Found
7103;https://sikola.unhas.ac.id/courses/216D1122/index.php;MEKANIKA TANAH II;216D1122;22201;Not Found
7104;https://sikola.unhas.ac.id/courses/216D1223/index.php;DRAINASE DAN SEWERAGE;216D1223;25201;Not Found
7105;https://sikola.unhas.ac.id/courses/216D2123/index.php;PENGUKURAN TEKNIK;216D2123;21201;Found
7106;https://sikola.unhas.ac.id/courses/216D2222/index.php;KALKULUS PERUBAH BANYAK;216D2222;26201;Not Found
7107;https://sikola.unhas.ac.id/courses/216D31123/index.php;TEKNOLOGI PENGELASAN;216D31123;36201;Not Found
7108;https://sikola.unhas.ac.id/courses/216D3323/index.php;PERMESINAN KAPAL II;216D3323;36202;Not Found
7109;https://sikola.unhas.ac.id/courses/216D4122/index.php;DASAR SISTEM KENDALI;216D4122;20201;Not Found
7110;https://sikola.unhas.ac.id/courses/216D5113/index.php;FISIKA BANGUNAN;216D5113;D511;Not Found
7111;https://sikola.unhas.ac.id/courses/216D5213/index.php;SISTEM INFORMASI PERENCANAAN;216D5213;35201;Not Found
7112;https://sikola.unhas.ac.id/courses/216D6123/index.php;PRINSIP STRATIGRAFI;216D6123;34201;Not Found
7113;https://sikola.unhas.ac.id/courses/216D6223/index.php;HIDROGEOLOGI;216D6223;31201;Not Found
7114;https://sikola.unhas.ac.id/courses/216E1203/index.php;KEPENDUDUKAN DAN LINGKUNGAN HIDUP;216E1203;65201;Not Found
7115;https://sikola.unhas.ac.id/courses/216E1303/index.php;TERORISME DAN KEJAHATAN TRANSNASIONAL;216E1303;64201;Not Found
7116;https://sikola.unhas.ac.id/courses/216E2103/index.php;PERILAKU ORGANISASI;216E2103;63201;Not Found
7117;https://sikola.unhas.ac.id/courses/216E3102/index.php;TEKNIK OLAH VOCAL;216E3102;70201;Not Found
7118;https://sikola.unhas.ac.id/courses/216E4103/index.php;STATISTIK SOSIAL LANJUTAN;216E4103;69201;Not Found
7119;https://sikola.unhas.ac.id/courses/216E5103/index.php;ETNOGRAFI ASIA TENGGARA;216E5103;82201;Not Found
7120;https://sikola.unhas.ac.id/courses/216F1102/index.php;DIALEKTOLOGI (P);216F1102;79211;Not Found
7121;https://sikola.unhas.ac.id/courses/216F3112/index.php;TATA BAHASA PRANCIS 3;216F3112;79205;Found
7122;https://sikola.unhas.ac.id/courses/216F6102/index.php;GEOARKEOLOGI;216F6102;81201;Not Found
7123;https://sikola.unhas.ac.id/courses/216F7102/index.php;SEJARAH EROPA;216F7102;80201;Not Found
7124;https://sikola.unhas.ac.id/courses/216I1102/index.php;PENYULUHAN DAN KOMUNIKASI;216I1102;54231;Not Found
7125;https://sikola.unhas.ac.id/courses/216M1123/index.php;PENYULUHAN KEHUTANAN;216M1123;54251;Not Found
7126;https://sikola.unhas.ac.id/courses/216N1112/index.php;KAJIAN PUSTAKA FARMASI;216N1112;48201;Not Found
7127;https://sikola.unhas.ac.id/courses/216O1123/index.php;PARASITOLOGI VETERINER II (EKTOPARASIT);216O1123;54261;Not Found
7128;https://sikola.unhas.ac.id/courses/217A2223/index.php;MANAJEMEN STRATEGI;217A2223;61201;Not Found
7129;https://sikola.unhas.ac.id/courses/217B2123/index.php;JUDICIAL REVIEW;217B2123;74235;Found
7130;https://sikola.unhas.ac.id/courses/217C1105/index.php;S1 SISTEM REPRODUKSI;217C1105;11201;Not Found
7131;https://sikola.unhas.ac.id/courses/217C1316/index.php;ELEKTRO FISIKA DAN SUMBER FISIS;217C1316;11202;Found
7132;https://sikola.unhas.ac.id/courses/217C1323/index.php;METODOLOGI PENELITIAN DAN STATISTIKA II;217C1323;11202;Not Found
7133;https://sikola.unhas.ac.id/courses/217D1122/index.php;HIDROLIKA;217D1122;22201;Not Found
7134;https://sikola.unhas.ac.id/courses/217D1223/index.php;MEKANIKA FLUIDA II;217D1223;25201;Not Found
7135;https://sikola.unhas.ac.id/courses/217D2222/index.php;MEKATRONIKA;217D2222;26201;Not Found
7136;https://sikola.unhas.ac.id/courses/217D31122/index.php;KESELAMATAN MARITIM;217D31122;36201;Not Found
7137;https://sikola.unhas.ac.id/courses/217D3323/index.php;KOMPUTASI DAN PEMROGRAMAN;217D3323;36202;Not Found
7138;https://sikola.unhas.ac.id/courses/217D4122/index.php;INSTALASI LISTRIK + PRAKTIKUM;217D4122;20201;Not Found
7139;https://sikola.unhas.ac.id/courses/217D5112/index.php;UTILITAS BANGUNAN;217D5112;D511;Not Found
7140;https://sikola.unhas.ac.id/courses/217D5213/index.php;SISTEM PERUMAHAN PERMUKIMAN;217D5213;35201;Not Found
7141;https://sikola.unhas.ac.id/courses/217D6122/index.php;OSEANOGRAFI;217D6122;34201;Not Found
7142;https://sikola.unhas.ac.id/courses/217E2103/index.php;ADMINISTRASI PERPAJAKAN;217E2103;63201;Not Found
7143;https://sikola.unhas.ac.id/courses/217E3103/index.php;TEKNIK LOBBY PRESENTASI DAN NEGOSIASI I;217E3103;70201;Not Found
7144;https://sikola.unhas.ac.id/courses/217E4103/index.php;DINAMIKA KELOMPOK;217E4103;69201;Not Found
7145;https://sikola.unhas.ac.id/courses/217E5103/index.php;ANTROPOLOGI PARIWISATA;217E5103;82201;Not Found
7146;https://sikola.unhas.ac.id/courses/217F3112/index.php;MORFOLOGI;217F3112;79205;Found
7147;https://sikola.unhas.ac.id/courses/217F5112/index.php;KEMAHIRAN MENULIS BAHASA BUGIS - MAKASSAR;217F5112;79211;Not Found
7148;https://sikola.unhas.ac.id/courses/217F6102/index.php;ETNOARKEOLOGI;217F6102;81201;Not Found
7149;https://sikola.unhas.ac.id/courses/217I1103/index.php;ILMU TERNAK UNGGAS;217I1103;54231;Not Found
7150;https://sikola.unhas.ac.id/courses/217O1122/index.php;FARMAKOLOGI VETERINER I;217O1122;54261;Found
7151;https://sikola.unhas.ac.id/courses/218B2123/index.php;HUKUM KEPEGAWAIAN;218B2123;74235;Not Found
7152;https://sikola.unhas.ac.id/courses/218C1103/index.php;S1 KETERAMPILAN KLINIK 3;218C1103;11201;Not Found
7153;https://sikola.unhas.ac.id/courses/218D1122/index.php;MATEMATIKA REKAYASA II;218D1122;22201;Not Found
7154;https://sikola.unhas.ac.id/courses/218D1223/index.php;LABORATORIUM LINGKUNGAN TERPADU;218D1223;25201;Not Found
7155;https://sikola.unhas.ac.id/courses/218D2222/index.php;MANAJEMEN SUMBER DAYA MANUSIA;218D2222;26201;Not Found
7156;https://sikola.unhas.ac.id/courses/218D31123/index.php;HIDROSTATIKA KAPAL;218D31123;36201;Not Found
7157;https://sikola.unhas.ac.id/courses/218D3323/index.php;LISTRIK KAPAL;218D3323;36202;Not Found
7158;https://sikola.unhas.ac.id/courses/218D4121/index.php;PRAK.ELEKTRONIKA TERINTEGRASI;218D4121;20201;Not Found
7159;https://sikola.unhas.ac.id/courses/218D5123/index.php;FISIKA BANGUNAN LANJUTAN;218D5123;23201;Not Found
7160;https://sikola.unhas.ac.id/courses/218D5223/index.php;EKONOMI WILAYAH DAN KOTA;218D5223;35201;Not Found
7161;https://sikola.unhas.ac.id/courses/218D6123/index.php;PETROGRAFI;218D6123;34201;Not Found
7162;https://sikola.unhas.ac.id/courses/218E2103/index.php;MANAJEMEN BERBASIS KINERJA;218E2103;63201;Not Found
7163;https://sikola.unhas.ac.id/courses/218E3123/index.php;DASAR-DASAR FOTOGRAFI;218E3123;70201;Not Found
7164;https://sikola.unhas.ac.id/courses/218E4103/index.php;HUBUNGAN ANTAR KELOMPOK DAN KONFLIK;218E4103;69201;Not Found
7165;https://sikola.unhas.ac.id/courses/218E5103/index.php;METODE DAN PRAKTEK PENELITIAN ANTROPOLOGI;218E5103;82201;Not Found
7166;https://sikola.unhas.ac.id/courses/218F3112/index.php;KAJIAN PROSA PRANCIS DAN FRANCOPHONE;218F3112;79205;Found
7167;https://sikola.unhas.ac.id/courses/218F4112/index.php;TELAAH PUISI ARAB I;218F4112;79203;Not Found
7168;https://sikola.unhas.ac.id/courses/218F5112/index.php;ANTROPOLINGUISTIK;218F5112;79211;Not Found
7169;https://sikola.unhas.ac.id/courses/218F6102/index.php;METODE ARKEOLOGI III;218F6102;81201;Not Found
7170;https://sikola.unhas.ac.id/courses/218I1103/index.php;ILMU TERNAK PERAH;218I1103;54231;Not Found
7171;https://sikola.unhas.ac.id/courses/218O1122/index.php;KESEJAHTERAAN HEWAN DAN KESMAVET;218O1122;54261;Found
7172;https://sikola.unhas.ac.id/courses/218Q1123/index.php;PSIKOLOGI ABNORMAL;218Q1123;73201;Not Found
7173;https://sikola.unhas.ac.id/courses/219B2123/index.php;ASAS-ASAS UMUM PEMERINTAHAN YANG BAIK;219B2123;74235;Not Found
7174;https://sikola.unhas.ac.id/courses/219C1327/index.php;"MANAJEMEN FISIOTERAPI (MANAJ. FT) MUSKULOSKELETAL &amp;amp;AMP;AMP; BEDAH/ANATOMI II";219C1327;11202;Found
7175;https://sikola.unhas.ac.id/courses/219D1122/index.php;ANALISIS STRUKTUR II;219D1122;22201;Not Found
7176;https://sikola.unhas.ac.id/courses/219D1223/index.php;UNIT OPERASI;219D1223;25201;Not Found
7177;https://sikola.unhas.ac.id/courses/219D2223/index.php;STATISTIK INDUSTRI;219D2223;26201;Found
7178;https://sikola.unhas.ac.id/courses/219D31123/index.php;KONSTRUKSI KAPAL 1;219D31123;36201;Not Found
7179;https://sikola.unhas.ac.id/courses/219D4121/index.php;PRAK.SISTEM MIKROPROSESOR DAN ANTARMUKA;219D4121;20201;Not Found
7180;https://sikola.unhas.ac.id/courses/219D5122/index.php;HUKUM PRANATA PEMBANGUNAN;219D5122;23201;Not Found
7181;https://sikola.unhas.ac.id/courses/219D5223/index.php;PERENCANAAN INFRASTRUKTUR BERKELANJUTAN;219D5223;35201;Not Found
7182;https://sikola.unhas.ac.id/courses/219D6122/index.php;GEOLOGI SEJARAH;219D6122;34201;Not Found
7183;https://sikola.unhas.ac.id/courses/219E2103/index.php;MANAJEMEN ASET;219E2103;63201;Not Found
7184;https://sikola.unhas.ac.id/courses/219E4103/index.php;SOSIOLOGI AGAMA;219E4103;69201;Not Found
7185;https://sikola.unhas.ac.id/courses/219E5103/index.php;ANTROPOLOGI POLITIK DAN KEKUASAAN;219E5103;82201;Not Found
7186;https://sikola.unhas.ac.id/courses/219F5112/index.php;TEORI TERJEMAHAN;219F5112;79211;Not Found
7187;https://sikola.unhas.ac.id/courses/219F6105/index.php;PRASEJARAH INDONESIA;219F6105;81201;Not Found
7188;https://sikola.unhas.ac.id/courses/219I1103/index.php;ILMU TERNAK POTONG;219I1103;54231;Not Found
7189;https://sikola.unhas.ac.id/courses/219O1113/index.php;BIOSTATISTIKA;219O1113;54261;Not Found
7190;https://sikola.unhas.ac.id/courses/21D01110102/index.php;Menggambar Bangunan Sipil;21D01110102;22201;Not Found
7191;https://sikola.unhas.ac.id/courses/21D01110203/index.php;Statika;21D01110203;22201;Not Found
7192;https://sikola.unhas.ac.id/courses/21D01110302/index.php;Statistika dan Probabilitas;21D01110302;22201;Found
7193;https://sikola.unhas.ac.id/courses/21D01110402/index.php;Survei dan Pemetaan Topografi;21D01110402;22201;Found
7194;https://sikola.unhas.ac.id/courses/21D01110503/index.php;Mekanika Bahan ;21D01110503;22201;Not Found
7195;https://sikola.unhas.ac.id/courses/21D01110602/index.php;Ilmu Lingkungan ;21D01110602;22201;Not Found
7196;https://sikola.unhas.ac.id/courses/21D01120102/index.php;Pengantar Geologi Kelas C;21D01120102;22201;Not Found
7197;https://sikola.unhas.ac.id/courses/21D01120202/index.php;Mekanika Fluida;21D01120202;22201;Not Found
7198;https://sikola.unhas.ac.id/courses/21D01120302/index.php;Hidrologi;21D01120302;22201;Not Found
7199;https://sikola.unhas.ac.id/courses/21D01120402/index.php;Mekanika Tanah I;21D01120402;22201;Not Found
