No;Link Matkul;Name;Kode Matkul;Kategori Matkul;Is Found
4942;https://sikola.unhas.ac.id/courses/19L03131902/index.php;PENINGKATAN KEAHLIAN KULTUR PAKAN ALAMI (P);19L03131902;54243;Not Found
4943;https://sikola.unhas.ac.id/courses/19L03140104/index.php;PRAKTEK KERJA AKUAKULTUR;19L03140104;54243;Not Found
4944;https://sikola.unhas.ac.id/courses/19L03140201/index.php;SEMINAR BDP;19L03140201;54243;Not Found
4945;https://sikola.unhas.ac.id/courses/19L03140306/index.php;SKRIPSI BDP;19L03140306;54243;Not Found
4946;https://sikola.unhas.ac.id/courses/19L04110103/index.php;MATEMATIKA-FISIKA TERAPAN;19L04110103;54246;Not Found
4947;https://sikola.unhas.ac.id/courses/19L04110202/index.php;DASAR-DASAR PENANGKAPAN IKAN;19L04110202;54246;Found
4948;https://sikola.unhas.ac.id/courses/19L04110302/index.php;DASAR-DASAR TEKNOLOGI HASIL PERIKANAN;19L04110302;54246;Not Found
4949;https://sikola.unhas.ac.id/courses/19L04110403/index.php;HASIL-HASIL PERIKANAN;19L04110403;54246;Not Found
4950;https://sikola.unhas.ac.id/courses/19L04120103/index.php;OSEANOGRAFI PERIKANAN;19L04120103;54246;Not Found
4951;https://sikola.unhas.ac.id/courses/19L04120203/index.php;BAHAN DAN ALAT PENANGKAPAN IKAN;19L04120203;54246;Found
4952;https://sikola.unhas.ac.id/courses/19L04120303/index.php;TINGKAH LAKU IKAN;19L04120303;54246;Not Found
4953;https://sikola.unhas.ac.id/courses/19L04120403/index.php;MANAJEMEN PELABUHAN PERIKANAN (19L04120403);19L04120403;54246;Not Found
4954;https://sikola.unhas.ac.id/courses/19L04120503/index.php;NAVIGASI 19L04120503;19L04120503;54246;Found
4955;https://sikola.unhas.ac.id/courses/19L04120603/index.php;DAERAH PENANGKAPAN IKAN;19L04120603;54246;Not Found
4956;https://sikola.unhas.ac.id/courses/19L04120703/index.php;RANCANG BANGUN KAPAL PERIKANAN;19L04120703;54246;Not Found
4957;https://sikola.unhas.ac.id/courses/19L04120803/index.php;RANCANG BANGUN ALAT PENANGKAPAN IKAN;19L04120803;54246;Found
4958;https://sikola.unhas.ac.id/courses/19L04120903/index.php;TEKNIK PEMETAAN PERIKANAN TANGKAP;19L04120903;54246;Not Found
4959;https://sikola.unhas.ac.id/courses/19L04121003/index.php;TEKNOLOGI PENANGKAPAN IKAN;19L04121003;54246;Not Found
4960;https://sikola.unhas.ac.id/courses/19L04121103/index.php;TEKNIK PEMETAAN PERIKANAN TANGKAP;19L04121103;54246;Found
4961;https://sikola.unhas.ac.id/courses/19L04121203/index.php;PENGOLAHAN DATA PERIKANAN TANGKAP;19L04121203;54246;Not Found
4962;https://sikola.unhas.ac.id/courses/19L04130103/index.php;DINAMIKA POPULASI DAN PENDUGAAN STOK;19L04130103;54242;Not Found
4963;https://sikola.unhas.ac.id/courses/19L04130203/index.php;OPERASI PENANGKAPAN IKAN;19L04130203;54246;Found
4964;https://sikola.unhas.ac.id/courses/19L04130303/index.php;SISTEM INFORMASI PERIKANAN TANGKAP;19L04130303;54246;Found
4965;https://sikola.unhas.ac.id/courses/19L04130403/index.php;KEPELAUTAN 19L04130403;19L04130403;54246;Not Found
